series_id,date,value
CES0000000001,2023-12,157304.0
CES0000000001,2023-11,157014.0
CES0000000001,2023-10,156832.0
CES0000000001,2023-09,156667.0
CES0000000001,2023-08,156421.0
CES0000000001,2023-07,156211.0
CES0000000001,2023-06,156027.0
CES0000000001,2023-05,155787.0
CES0000000001,2023-04,155484.0
CES0000000001,2023-03,155206.0
CES0000000001,2023-02,155060.0
CES0000000001,2023-01,154773.0
CES0000000001,2022-12,154291.0
CES0000000001,2022-11,154155.0
CES0000000001,2022-10,153897.0
CES0000000001,2022-09,153536.0
CES0000000001,2022-08,153281.0
CES0000000001,2022-07,153038.0
CES0000000001,2022-06,152348.0
CES0000000001,2022-05,151928.0
CES0000000001,2022-04,151642.0
CES0000000001,2022-03,151370.0
CES0000000001,2022-02,150876.0
CES0000000001,2022-01,150014.0
LNS14000000,2023-12,3.7
LNS14000000,2023-11,3.7
LNS14000000,2023-10,3.8
LNS14000000,2023-09,3.8
LNS14000000,2023-08,3.8
LNS14000000,2023-07,3.5
LNS14000000,2023-06,3.6
LNS14000000,2023-05,3.7
LNS14000000,2023-04,3.4
LNS14000000,2023-03,3.5
LNS14000000,2023-02,3.6
LNS14000000,2023-01,3.4
LNS14000000,2022-12,3.5
LNS14000000,2022-11,3.6
LNS14000000,2022-10,3.6
LNS14000000,2022-09,3.5
LNS14000000,2022-08,3.6
LNS14000000,2022-07,3.5
LNS14000000,2022-06,3.6
LNS14000000,2022-05,3.6
LNS14000000,2022-04,3.7
LNS14000000,2022-03,3.6
LNS14000000,2022-02,3.8
LNS14000000,2022-01,4.0
